YEAR,Actual Rainfall: JUN,Actual Rainfall: JUL,Actual Rainfall: AUG,Actual Rainfall: SEPT,Actual Rainfall: JUN-SEPT,Departure Percentage: JUN,Departure Percentage: JUL,Departure Percentage: AUG,Departure Percentage: SEP,Departure Percentage: JUN-SEPT,JUN,JUL,AUG,SEP
2007,242.5,205.6,223.1,231.0,902.1,54.0,-8.0,22.8,44.3,24.8,9636.7,12982.1,11112.7,9663.0
2008,135.6,170.8,238.5,147.7,692.6,-13.9,-23.6,31.3,-7.8,-4.2,9364.3,10689.5,11055.5,6961.0
2009,106.5,216.1,161.0,198.5,682.2,-32.3,-3.3,-11.4,24.0,-5.6,4965.0,12004.8,7989.5,6374.2
2010,163.5,277.9,229.7,177.0,848.1,3.6,24.0,26.6,11.0,17.3,7263.3,13083.3,11072.4,8037.7
2011,156.8,213.1,219.0,124.3,713.1,-1.3,-2.9,21.2,-20.6,-0.3,8663.2,11434.8,11951.7,8115.2
2012,113.0,178.7,207.3,145.0,643.9,-28.8,-18.6,14.7,-7.5,-10.0,6419.9,10470.5,10641.7,8302.7
2013,206.1,274.6,164.9,180.1,825.6,29.8,25.1,-8.7,14.9,15.4,10612.8,13573.9,9695.6,6558.5
2014,100.1,199.4,229.1,136.7,665.3,-36.9,-9.1,26.8,-12.8,-7.0,4939.3,11359.3,10213.4,7162.8
2015,187.6,110.2,146.2,161.0,605.1,18.1,-49.9,-19.1,2.8,-15.5,8471.5,9535.8,8240.9,5601.0
2016,199.1,193.3,108.7,159.2,660.2,25.3,-12.1,-39.8,1.7,-7.8,7676.5,12534.8,8722.7,7187.9
