Crop groups,Crops,Selections,Hybrids,Mutants,Others,Total
Fruit Crops,Ber,2.0,1.0,1,10.333333333333334,3
Fruit Crops,Aonla,1.0,16.846153846153847,1,10.333333333333334,1
Fruit Crops,Khejri,1.0,16.846153846153847,1,10.333333333333334,1
Fruit Crops,Banana,1.0,3.0,1,10.333333333333334,4
Fruit Crops,Grapes,5.0,13.0,1,3.0,21
Fruit Crops,Pomegranate,6.0,4.0,1,10.333333333333334,10
Fruit Crops,Litchi,4.0,2.0,1,10.333333333333334,6
Fruit Crops,Mango,4.0,23.0,1,10.333333333333334,27
Fruit Crops,Guava,3.0,4.0,1,1.0,8
Fruit Crops,Papaya,15.0,4.0,1,10.333333333333334,19
Fruit Crops,Apple,18.364485981308412,16.0,1,10.333333333333334,17
Fruit Crops,Apricot,18.364485981308412,16.846153846153847,3,10.333333333333334,3
Fruit Crops,Pear,18.364485981308412,16.846153846153847,1,3.0,3
Fruit Crops,Peach,18.364485981308412,16.846153846153847,1,1.0,1
Fruit Crops,Plum,18.364485981308412,16.846153846153847,1,2.0,2
Fruit Crops,Almond,4.0,16.846153846153847,1,10.333333333333334,4
Fruit Crops,Walnut,2.0,16.846153846153847,1,10.333333333333334,2
Fruit Crops,Sweet Orange,2.0,16.846153846153847,1,10.333333333333334,2
Fruit Crops,Sub-Total,50.0,70.0,4,10.0,134
Medicinal and Aromatic Plants,Betel vine,3.0,16.846153846153847,1,2.0,5
Medicinal and Aromatic Plants,Opium poppy,6.0,16.846153846153847,1,10.333333333333334,6
Medicinal and Aromatic Plants,Asalio,1.0,16.846153846153847,1,10.333333333333334,1
Medicinal and Aromatic Plants,Safed musli,1.0,16.846153846153847,1,10.333333333333334,1
Medicinal and Aromatic Plants,Periwinkle,18.364485981308412,16.846153846153847,1,1.0,1
Medicinal and Aromatic Plants,Senna,1.0,16.846153846153847,1,10.333333333333334,1
Medicinal and Aromatic Plants,Yam,2.0,16.846153846153847,1,10.333333333333334,2
Medicinal and Aromatic Plants,Foxglove,18.364485981308412,16.846153846153847,1,1.0,1
