Year,JF,MAM,JJAS,OND,Annual
1891,0,0,1,3,4
1892,0,1,3,2,6
1893,0,2,4,4,10
1894,0,1,4,1,6
1895,0,1,3,1,5
1896,0,1,6,1,8
1897,0,1,2,3,6
1898,0,2,3,2,7
1899,0,1,1,1,3
1900,0,0,3,0,3
1901,0,1,0,2,3
1902,0,2,2,3,7
1903,0,1,4,3,8
1904,0,1,1,2,4
1905,0,0,3,3,6
1906,1,0,3,3,7
1907,0,1,4,3,8
1908,0,0,3,3,6
1909,0,1,0,3,4
1910,0,1,2,2,5
1911,0,2,2,1,5
1912,0,0,2,4,6
1913,0,0,4,2,6
1914,0,1,2,1,4
1915,0,0,3,3,6
1916,0,2,2,4,8
1917,0,1,1,1,3
1918,1,1,0,3,5
1919,0,1,2,3,6
1920,0,1,1,1,3
1921,0,1,1,2,4
1922,0,2,0,4,6
1923,0,2,0,2,4
1924,0,2,2,2,6
1925,0,3,1,3,7
1926,0,1,5,4,10
1927,0,2,2,3,7
1928,0,1,3,3,7
1929,1,0,4,1,6
1930,0,2,3,5,10
1931,0,1,1,3,5
1932,0,2,1,3,6
1933,0,2,3,3,8
1934,0,1,1,3,5
1935,1,0,2,3,6
1936,0,2,3,1,6
1937,0,1,3,2,6
1938,0,0,0,4,4
1939,1,1,3,2,7
1940,0,1,3,4,8
1941,0,2,4,2,8
1942,0,0,2,3,5
1943,0,1,3,3,7
1944,1,0,4,3,8
1945,0,0,1,2,3
1946,0,0,1,4,5
1947,0,1,2,1,4
1948,0,0,3,3,6
1949,0,0,0,1,1
1950,0,0,2,2,4
1951,0,1,1,2,4
1952,0,1,1,2,4
1953,0,1,0,0,1
1954,0,0,1,0,1
1955,0,1,2,3,6
1956,0,2,1,1,4
1957,0,0,1,2,3
1958,0,1,0,4,5
1959,0,1,4,1,6
1960,0,2,0,3,5
1961,0,3,2,0,5
1962,0,1,1,3,5
1963,0,2,0,4,6
1964,0,1,2,4,7
1965,0,2,0,4,6
1966,0,1,2,5,8
1967,1,1,0,4,6
1968,0,1,2,4,7
1969,0,1,1,4,6
1970,0,2,2,3,7
1971,0,1,2,4,7
1972,0,1,3,3,7
1973,0,0,2,4,6
1974,0,3,3,1,7
1975,0,2,1,4,7
1976,0,2,2,6,10
1977,0,1,1,3,5
1978,0,1,1,3,5
1979,0,1,3,1,5
1980,0,0,0,3,3
1981,0,0,2,4,6
1982,0,2,0,3,5
1983,0,0,0,3,3
1984,0,0,0,3,3
1985,0,2,1,4,7
1986,0,0,0,1,1
1987,1,0,1,3,5
1988,0,0,0,3,3
1989,0,1,1,1,3
1990,0,1,0,1,2
1991,0,2,0,1,3
1992,0,1,1,4,6
1993,0,0,0,2,2
1994,0,1,1,2,4
1995,0,0,0,3,3
1996,0,0,2,3,5
1997,0,1,1,1,3
1998,0,1,1,4,6
1999,1,1,0,2,4
2000,0,1,0,3,4
2001,0,1,1,2,4
2002,0,1,0,3,4
2003,0,1,0,2,3
2004,0,2,1,1,4
2005,1,0,1,2,4
2006,0,1,1,1,3
2007,0,1,2,1,4
2008,0,1,0,3,4
2009,0,2,0,2,4
2010,0,3,0,2,5
2011,0,0,0,2,2
2012,0,0,0,2,2
2013,0,1,0,4,5
2014,0,0,1,2,3
2015,0,0,2,2,4
Total ,10,123,195,316,644
