Year,JF,MAM,JJAS,OND,Annual
1891,0,0,0,3,3
1892,0,1,1,0,2
1893,0,1,0,3,4
1894,0,0,0,0,0
1895,0,1,2,1,4
1896,0,0,2,1,3
1897,0,0,0,2,2
1898,0,2,0,1,3
1899,0,0,0,0,0
1900,0,0,1,0,1
1901,0,1,0,1,2
1902,0,2,1,2,5
1903,0,1,1,0,2
1904,0,0,0,0,0
1905,0,0,0,0,0
1906,0,0,0,1,1
1907,0,1,2,1,4
1908,0,0,0,1,1
1909,0,1,0,3,4
1910,0,1,1,0,2
1911,0,2,1,1,4
1912,0,0,0,2,2
1913,0,0,2,0,2
1914,0,1,1,0,2
1915,0,0,0,0,0
1916,0,2,1,2,5
1917,0,1,0,0,1
1918,0,0,0,0,0
1919,0,1,1,1,3
1920,0,0,1,1,2
1921,0,0,0,1,1
1922,0,2,0,4,6
1923,0,1,0,2,3
1924,0,0,0,0,0
1925,0,2,0,1,3
1926,0,1,0,2,3
1927,0,1,0,1,2
1928,0,0,0,0,0
1929,0,0,0,0,0
1930,0,0,0,1,1
1931,0,0,0,1,1
1932,0,2,0,0,2
1933,0,1,0,2,3
1934,0,0,0,0,0
1935,0,0,1,1,2
1936,0,2,1,0,3
1937,0,1,1,0,2
1938,0,0,0,4,4
1939,1,0,0,2,3
1940,0,1,2,2,5
1941,0,2,1,1,4
1942,0,0,0,2,2
1943,0,1,0,0,1
1944,1,0,1,0,2
1945,0,0,0,2,2
1946,0,0,1,0,1
1947,0,1,0,1,2
1948,0,0,2,1,3
1949,0,0,0,1,1
1950,0,0,0,0,0
1951,0,0,0,2,2
1952,0,1,0,1,2
1953,0,1,0,0,1
1954,0,0,0,0,0
1955,0,0,0,2,2
1956,0,1,0,1,2
1957,0,0,0,1,1
1958,0,0,0,2,2
1959,0,1,1,1,3
1960,0,1,0,2,3
1961,0,3,1,0,4
1962,0,0,0,3,3
1963,0,2,0,2,4
1964,0,0,1,4,5
1965,0,2,0,2,4
1966,0,1,1,4,6
1967,0,1,0,3,4
1968,0,1,1,2,4
1969,0,0,0,1,1
1970,0,1,0,2,3
1971,0,0,2,4,6
1972,0,1,2,3,6
1973,0,0,0,3,3
1974,0,0,2,1,3
1975,0,2,0,2,4
1976,0,2,1,4,7
1977,0,1,1,3,5
1978,0,1,0,2,3
1979,0,1,3,0,4
1980,0,0,0,0,0
1981,0,0,0,3,3
1982,0,2,0,3,5
1983,0,0,0,2,2
1984,0,0,0,3,3
1985,0,1,0,1,2
1986,0,0,0,0,0
1987,1,0,0,2,3
1988,0,0,0,2,2
1989,0,1,0,1,2
1990,0,1,0,1,2
1991,0,1,0,0,1
1992,0,0,0,2,2
1993,0,0,0,2,2
1994,0,1,1,2,4
1995,0,0,0,2,2
1996,0,0,1,3,4
1997,0,1,1,0,2
1998,0,1,1,3,5
1999,0,1,0,2,3
2000,0,0,0,2,2
2001,0,1,0,0,1
2002,0,0,0,1,1
2003,0,1,0,2,3
2004,0,2,1,1,4
2005,0,0,0,0,0
2006,0,1,1,0,2
2007,0,0,1,1,2
2008,0,1,0,0,1
2009,0,1,0,0,1
2010,0,2,0,2,4
2011,0,0,0,1,1
2012,0,0,0,0,0
2013,0,0,0,4,4
2014,0,0,0,2,2
2015,0,0,0,2,2
Total ,3,80,51,168,302
