YEAR,JUN,JUL,AUG,SEP,JUN-SEP
1901,155.8,197.7,147.5,138.2,639.2
1902,117.5,212,165.1,196.3,690.8
1903,140,300.4,212.6,211.5,864.5
1904,191.3,187.1,91,136.4,605.7
1905,155.6,120.7,192.9,105.7,575
1906,180.1,224.5,225.9,114.7,745.2
1907,187,206.6,221.6,126.2,741.4
1908,121.2,239.1,155.4,245,760.7
1909,149.7,218.9,201.4,140.7,710.7
1910,180.1,205.6,208,175.6,769.2
1911,184.2,188,101.7,108.5,582.5
1912,136.4,250.9,201.1,143.8,732.1
1913,130.6,224.5,96.9,134.8,586.7
1914,152.5,279.5,211.4,199.2,842.5
1915,190.5,196.8,144.4,194.8,726.5
1916,193.2,261.3,191.9,194.9,841.2
1917,202.5,160.7,202.6,251.4,817.3
1918,106.2,88.3,122.3,119,435.8
1919,164.3,190.3,119.6,187.8,661.9
1920,152.8,182,116.4,135.8,587
1921,141,228.7,185.5,130.6,685.8
1922,141.9,220.3,126.3,109.3,597.8
1923,110.1,280.3,161.2,179.4,731
1924,152.6,301,172.4,208.2,834.2
1925,157.6,208.5,194.7,101.9,662.7
1926,111.8,222.5,190.9,158.8,684
1927,181.6,238.7,143.7,171.3,735.4
1928,153.9,189.6,175.7,143.4,662.6
1929,209.8,154.4,118.5,175.5,658.2
1930,179.9,123.3,107.9,174.8,585.8
1931,149.8,219.1,217.4,169.7,756.1
1932,99.3,222.5,192,137.1,650.9
1933,191.6,221.7,204.8,189.2,807.3
1934,177.4,202.4,161.9,82.6,624.2
1935,135.3,206.1,190.3,145.9,677.6
1936,181,198,141.4,150.8,671.3
1937,115,245,113.9,128.1,602
1938,186.7,207.2,216.8,203.9,814.6
1939,131.1,171.7,171.3,124.2,598.2
1940,161.5,218.9,219.9,110.5,710.7
1941,160.8,131.6,142.8,170.9,606
1942,183.7,208.8,184.1,94.4,671.1
1943,161.9,200.1,98.9,185.8,646.7
1944,139.3,226.4,114.3,145.3,625.4
1945,116.3,250.8,161.2,112.1,640.4
1946,187.7,202.1,207.2,142.2,739.3
1947,129.6,247.3,253.9,192.7,823.6
1948,146.4,198.3,191.9,137.6,674.1
1949,146.6,237.9,181.4,197.5,763.4
1950,124.5,245.3,147.9,197,714.7
1951,162.5,240.8,118.3,146.5,668.2
1952,123.7,162.5,143.2,78.4,507.8
1953,158.2,280,175.1,165.6,778.9
1954,160.3,277.8,196.5,141.4,776.1
1955,179.5,158.2,219,196.9,753.6
1956,206.1,276.1,148.1,159,789.3
1957,196.8,213.7,198.7,90.8,700.1
1958,143.1,259.9,246.4,121.8,771.3
1959,221.7,322.1,192,180.5,916.4
1960,150.1,221.9,96.6,227.8,696.5
1961,204.5,344,204.9,143.3,896.7
1962,92.9,243.9,229.6,202.9,769.2
1963,143,185.6,241.3,111.1,681
1964,123.2,248.8,217.9,250.6,840.5
1965,136.6,214.8,174.7,137,663.2
1966,109,235,142,185,671
1967,143.8,271.9,155.1,119.3,690.2
1968,138.7,260.4,89.4,195.4,684
1969,125,239,174,131.5,669.5
1970,155.7,195.6,254.8,150.2,756.3
1971,177.7,155.1,167.1,143.9,643.8
1972,145.4,176.3,89.7,145.3,556.7
1973,161.7,191.2,223,118.2,694.2
1974,102.5,217.4,159.8,213.9,693.6
1975,200.6,240.9,215.1,235.8,892.4
1976,90.7,244.7,207.9,95.7,639.1
1977,160,213.3,166.2,112.2,651.6
1978,197.1,258.1,223.5,165.1,843.7
1979,152.9,173.5,148.5,215.1,689.9
1980,212.5,212.8,199.3,118.2,742.8
1981,186.2,203.8,229,256.5,875.5
1982,150.3,200.2,183.8,129.2,663.5
1983,157.2,220.9,286.6,250.3,914.9
1984,161,257.3,102,141.5,661.9
1985,190.7,166.8,159.4,108,624.9
1986,162.2,140.2,216.9,129.7,648.9
1987,141.3,119.2,185.7,111.1,557.3
1988,112.9,305.7,253.1,235.5,907.3
1989,175.6,301.8,156.2,173.2,806.8
1990,158.3,159.6,228.9,115.7,662.5
1991,269.5,238.1,161,126,794.6
1992,181.9,198.9,203.4,139.9,724.1
1993,130.2,224.8,152.7,124.6,632.3
1994,162,274.7,175.1,90.6,702.3
1995,124.9,249.2,199.6,135.3,709
1996,213.4,194.8,205.8,188.8,802.8
1997,147,244.6,197.1,168.5,757.3
1998,165.3,229.4,214.6,219.3,828.5
1999,141.1,213.2,142.1,110.1,606.5
2000,195.5,169.7,289.8,134.8,789.8
2001,150.2,147.2,154.7,154.9,606.9
2002,136.4,89.3,172.3,68.9,466.9
2003,131.3,203,164.1,86.1,584.5
2004,144.5,174.6,140.2,143.1,602.3
2005,138,281.7,156.4,217.8,793.7
2006,159,161.7,180.9,188.5,690.1
2007,241.8,216.5,223.3,227,908.6
2008,135.1,174.9,242.6,147.3,699.9
2009,110.4,221.8,155.7,193.7,681.7
2010,161.1,273.6,227,172.8,834.6
2011,156.9,213.6,212.9,125.8,709.2
2012,109.9,179.8,206.3,145.2,641.3
2013,205.1,279.7,168.1,180.2,833.1
2014,98.9,204.4,228.8,136.4,668.5
2015,186.8,114,147.3,157.5,605.5
2016,198.3,191.2,110,161.8,661.2
2017,170.8,140.1,208.7,197.1,716.7
2018,182.5,200.2,221.2,96.9,700.9
2019,112.2,192.8,293.9,239.3,838.2
2020,171.9,251.3,256.2,259.4,938.8
2021,166.4,275.5,168.4,195.1,805.4
