YEAR,JUN,JUL,AUG,SEP,JN-SP
1901,24.5,185.7,226.7,74.1,511.1
1902,65,205.8,137.2,117.3,525.4
1903,27.1,209.3,238.1,155.5,629.9
1904,58.9,225.2,196.6,70.9,551.7
1905,27,156,113.7,141.3,438
1906,88.2,183.1,203.1,183.3,657.8
1907,40.3,126.1,264.1,13.3,443.8
1908,42,265.8,336.2,69,713.1
1909,120.7,287.8,199.6,142.4,750.5
1910,118.2,174.4,268.1,114.2,674.9
1911,80.3,61.4,146.3,180.2,468.2
1912,33.6,236.9,206.6,81.6,558.7
1913,120.7,153.3,141.8,41.2,457
1914,71.4,327.2,177.5,136.9,712.9
1915,57.8,136.8,203.6,120.9,519.1
1916,122.7,221.2,287.5,128,759.4
1917,135,241.2,267.5,281.3,925.1
1918,71.3,80.5,171.6,34.1,357.5
1919,43.9,255,243.7,87.5,630.1
1920,87.3,243.2,105.1,38.7,474.2
1921,76.9,168,250.4,136.3,631.5
1922,75.2,243.4,212.6,183.7,714.8
1923,25,222.2,270.7,96,614
1924,20.7,251.1,204.7,231.6,708.2
1925,132,278.7,160.6,55.6,627
1926,18.8,232.2,270.6,142.4,664
1927,42.3,235.4,256.4,64.8,598.9
1928,51.2,191.4,161.3,58,461.8
1929,69.9,221.1,231.5,27.7,550.1
1930,65.3,265,158.4,77.1,565.8
1931,18.8,203.1,260.9,134.8,617.5
1932,43,206.7,207.8,97.1,554.5
1933,119.2,177.7,247.8,137.8,682.5
1934,96.7,195.8,260.6,78.8,631.9
1935,32.8,226.7,170.2,107.1,536.8
1936,151,237.8,198.7,114.3,701.8
1937,67.4,239.1,137.2,101.4,545.1
1938,147.4,207.3,169.5,48.5,572.7
1939,83.2,160.5,118.8,109.4,471.8
1940,67.8,177.6,236,55.8,537.3
1941,73,110.7,183.9,96.1,463.7
1942,62.7,266.1,266.2,131.8,726.8
1943,48.8,227,245,128.4,649.2
1944,61.9,234,261.8,68.8,626.6
1945,62.2,236,174.9,182,655
1946,93,227.6,232.7,53.8,607.2
1947,37.9,163.8,201.9,219,622.6
1948,41.7,261.4,259.4,106.3,668.8
1949,40.5,258.9,159.7,111.4,570.5
1950,51.9,243.3,219.8,207.6,722.6
1951,52.9,116.3,187.3,71.7,428.2
1952,116.9,206.2,260.3,30.6,614
1953,75.2,283,252.9,98.9,710
1954,39.2,207.7,161.7,201.4,610.1
1955,79.5,190.4,299.8,166.4,736.1
1956,87.3,309.4,234.8,91.7,723.3
1957,55.4,227.5,209.2,110.6,602.8
1958,38.3,251.6,224.8,216.1,730.9
1959,31.5,277.8,227.5,157.4,694.3
1960,51.6,247.8,252.2,61.6,613.3
1961,88.9,224.9,267,161.8,742.6
1962,41,196.3,198.5,187.7,623.5
1963,52.4,148.7,232.9,104.8,538.8
1964,61,269,194.8,133.6,658.4
1965,17.4,175.3,126.3,66.1,385.1
1966,107.9,148.1,224.7,102.6,583.2
1967,61.4,195.2,283,129.8,669.4
1968,51.9,275.7,171.6,34.6,533.8
1969,28.9,217.3,223.4,125,594.7
1970,105.8,129.5,222.3,145.9,603.5
1971,140.9,215.5,228.9,89.9,675.3
1972,41.8,143.2,185.7,74.4,445.1
1973,71.8,193.6,304,108.7,678
1974,75.5,232.2,137.4,43.2,488.3
1975,104.7,274.4,247.9,156.9,784
1976,64.9,195.3,276.3,110.4,647
1977,82.6,294.7,163.9,118.1,659.3
1978,114.6,246.2,231.2,117.8,709.8
1979,57,193.7,112.3,41.2,404.2
1980,107.6,280.9,177.9,84,650.4
1981,67,265.5,122.8,85.7,541
1982,50.6,150,231.9,70.2,502.8
1983,66.6,217.1,224,155.2,662.7
1984,101.9,182.3,209,107.2,600.4
1985,45.2,259.1,186.5,111,601.7
1986,84.8,230,176,56.3,547.1
1987,64.5,95.5,144.5,77.9,382.4
1988,78.7,313,236.7,177.6,805.9
1989,70.7,215,191.3,80,557
1990,67,276.9,199,141.9,684.7
1991,58.6,146,232.6,93.6,530.8
1992,34.9,194.8,246.5,157.3,633.5
1993,92.1,249.5,93.1,156.8,591.4
1994,90.4,299.5,261.5,93.5,745
1995,60.6,262.7,281.6,128.6,733.6
1996,156.3,161.1,312.1,98.4,728
1997,80.1,182,186.4,56.5,505
1998,73.2,191.6,183.2,121.6,569.7
1999,71.3,188.6,156.9,111.6,528.4
2000,103.3,228.4,148.2,76.9,556.7
2001,138.8,248.8,138.6,45.4,571.6
2002,66.5,62.7,168.6,124.8,422.5
2003,69.1,235.4,198.4,158.2,661.2
2004,84.5,126,200.6,52.6,463.8
2005,47.8,254.5,99.2,125.9,527.4
2006,74.4,199.2,235.9,119.4,628.8
2007,83.5,174.5,172.4,81.6,512
2008,168.6,225,199.5,86.3,679.4
2009,38.6,156.7,123.7,88.2,407.1
2010,53.8,219.2,228.5,161.6,663.1
2011,119.7,166.5,235.6,129.7,651.5
2012,21.6,159.7,237.6,136.4,555.4
2013,154.5,218.4,248.9,69.7,691.5
2014,32.3,173.9,139,163.4,508.6
2015,90.5,227.7,135,55.9,509.1
2016,64,239.9,225.8,54,583.7
2017,105.8,233.1,142.7,69.3,551
2018,81.2,203.6,195.8,121.1,601.7
2019,53.4,212.2,205.2,120.9,591.7
