Year,JF,MAM,JJAS,OND,Annual
1891,0,0,1,1,2
1892,0,0,3,2,5
1893,0,2,4,3,9
1894,0,1,4,0,5
1895,0,1,2,1,4
1896,0,0,6,1,7
1897,0,1,1,3,5
1898,0,1,3,2,6
1899,0,1,1,1,3
1900,0,0,3,0,3
1901,0,0,0,2,2
1902,0,1,1,0,2
1903,0,0,2,3,5
1904,0,1,1,2,4
1905,0,0,3,2,5
1906,1,0,3,2,6
1907,0,1,2,2,5
1908,0,0,3,2,5
1909,0,1,0,3,4
1910,0,1,2,2,5
1911,0,1,2,0,3
1912,0,0,2,2,4
1913,0,0,4,2,6
1914,0,1,2,1,4
1915,0,0,3,3,6
1916,0,1,2,4,7
1917,0,1,0,0,1
1918,1,1,0,3,5
1919,0,0,2,3,5
1920,0,1,0,0,1
1921,0,1,1,2,4
1922,0,1,0,4,5
1923,0,2,0,2,4
1924,0,2,2,2,6
1925,0,3,1,3,7
1926,0,1,2,4,7
1927,0,1,2,2,5
1928,0,1,3,3,7
1929,1,0,3,1,5
1930,0,2,2,4,8
1931,0,1,1,3,5
1932,0,1,1,2,4
1933,0,1,3,3,7
1934,0,1,1,2,4
1935,0,0,1,3,4
1936,0,2,2,1,5
1937,0,1,3,2,6
1938,0,0,0,3,3
1939,1,1,1,2,5
1940,0,1,3,2,6
1941,0,1,4,2,7
1942,0,0,2,3,5
1943,0,1,3,3,7
1944,1,0,3,3,7
1945,0,0,1,2,3
1946,0,0,0,4,4
1947,0,0,2,1,3
1948,0,0,2,1,3
1949,0,0,0,1,1
1950,0,0,2,2,4
1951,0,0,1,1,2
1952,0,1,1,2,4
1953,0,1,0,0,1
1954,0,0,1,0,1
1955,0,1,2,3,6
1956,0,2,1,1,4
1957,0,0,1,1,2
1958,0,1,0,4,5
1959,0,0,3,0,3
1960,0,1,0,2,3
1961,0,2,1,0,3
1962,0,1,0,3,4
1963,0,1,0,2,3
1964,0,1,0,3,4
1965,0,2,0,3,5
1966,0,1,1,5,7
1967,1,1,0,4,6
1968,0,1,2,4,7
1969,0,1,1,4,6
1970,0,1,1,2,4
1971,0,1,2,2,5
1972,0,1,2,2,5
1973,0,0,1,4,5
1974,0,1,2,1,4
1975,0,1,1,3,5
1976,0,1,1,5,7
1977,0,1,0,3,4
1978,0,1,1,3,5
1979,0,1,1,1,3
1980,0,0,0,3,3
1981,0,0,2,3,5
1982,0,2,0,2,4
1983,0,0,0,3,3
1984,0,0,0,3,3
1985,0,1,1,4,6
1986,0,0,0,1,1
1987,1,0,1,3,5
1988,0,0,0,3,3
1989,0,1,1,1,3
1990,0,1,0,1,2
1991,0,2,0,1,3
1992,0,1,0,3,4
1993,0,0,0,1,1
1994,0,1,0,1,2
1995,0,0,0,2,2
1996,0,0,1,2,3
1997,0,1,1,1,3
1998,0,1,0,2,3
1999,1,0,0,2,3
2000,0,1,0,3,4
2001,0,0,0,1,1
2002,0,0,0,3,3
2003,0,1,0,1,2
2004,0,1,0,0,1
2005,1,0,1,2,4
2006,0,1,0,1,2
2007,0,1,0,1,2
2008,0,1,0,2,3
2009,0,2,0,1,3
2010,0,1,0,2,3
2011,0,0,0,1,1
2012,0,0,0,1,1
2013,0,1,0,4,5
2014,0,0,0,1,1
2015,0,0,1,0,1
Total ,9,91,149,258,507
