Year,JF,MAM,JJAS,OND,Annual
1891,0,1,8,4,13
1892,0,1,8,3,12
1893,0,2,6,4,12
1894,0,1,8,3,12
1895,0,1,9,1,11
1896,0,1,8,1,10
1897,0,1,8,3,12
1898,0,2,9,2,13
1899,0,1,5,1,7
1900,0,0,8,2,10
1901,0,1,1,4,6
1902,0,2,7,4,13
1903,0,1,8,5,14
1904,0,1,6,2,9
1905,0,0,7,3,10
1906,1,0,7,3,11
1907,0,2,8,5,15
1908,0,0,5,4,9
1909,0,2,3,3,8
1910,0,1,3,2,6
1911,0,2,4,1,7
1912,0,0,5,4,9
1913,0,0,6,4,10
1914,0,1,5,2,8
1915,0,0,5,4,9
1916,0,2,5,7,14
1917,0,1,6,3,10
1918,1,1,5,4,11
1919,0,1,7,3,11
1920,0,1,7,1,9
1921,0,1,5,4,10
1922,0,2,6,5,13
1923,1,2,9,4,16
1924,0,3,5,5,13
1925,1,3,10,6,20
1926,0,1,8,4,13
1927,0,4,10,4,18
1928,0,1,7,5,13
1929,1,1,10,3,15
1930,0,2,6,6,14
1931,0,1,5,5,11
1932,0,3,6,5,14
1933,0,2,11,3,16
1934,1,1,9,5,16
1935,1,1,8,5,15
1936,0,2,10,5,17
1937,0,2,11,6,19
1938,0,3,3,4,10
1939,1,1,12,5,19
1940,0,1,9,6,16
1941,0,2,12,5,19
1942,0,2,9,3,14
1943,0,2,7,5,14
1944,1,1,11,6,19
1945,0,1,8,6,15
1946,0,0,10,7,17
1947,1,2,9,6,18
1948,1,2,9,6,18
1949,0,4,6,2,12
1950,0,2,11,3,16
1951,0,1,10,4,15
1952,0,2,7,8,17
1953,1,1,5,3,10
1954,0,1,9,4,14
1955,0,2,6,5,13
1956,1,2,8,3,14
1957,0,1,3,3,7
1958,0,2,5,5,12
1959,0,1,11,4,16
1960,0,2,6,7,15
1961,2,3,11,2,18
1962,0,3,6,4,13
1963,1,2,6,8,17
1964,0,1,9,6,16
1965,0,2,6,6,14
1966,0,2,8,8,18
1967,1,1,7,6,15
1968,0,1,8,4,13
1969,0,1,8,5,14
1970,0,3,7,5,15
1971,0,1,9,5,15
1972,0,1,9,8,18
1973,0,1,8,7,16
1974,0,3,5,4,12
1975,1,3,9,7,20
1976,0,2,5,7,14
1977,0,1,10,7,18
1978,0,1,9,4,14
1979,0,1,7,3,11
1980,0,1,7,6,14
1981,0,0,7,5,12
1982,0,2,10,8,20
1983,0,0,4,4,8
1984,0,0,3,4,7
1985,0,2,6,7,15
1986,1,0,5,2,8
1987,1,0,4,4,9
1988,0,0,4,5,9
1989,0,1,5,4,10
1990,0,2,4,5,11
1991,0,2,3,3,8
1992,0,1,3,8,12
1993,0,0,1,4,5
1994,0,2,2,4,8
1995,0,3,2,3,8
1996,0,1,3,5,9
1997,0,1,6,2,9
1998,0,2,4,7,13
1999,1,1,4,3,9
2000,0,1,2,4,7
2001,0,1,2,3,6
2002,0,2,0,4,6
2003,0,1,2,4,7
2004,0,2,4,4,10
2005,1,0,6,5,12
2006,1,1,9,1,12
2007,0,2,7,3,12
2008,0,1,4,5,10
2009,0,2,4,2,8
2010,0,3,0,5,8
2011,1,0,4,5,10
2012,0,0,0,5,5
2013,0,2,2,6,10
2014,1,1,3,3,8
2015,0,0,8,4,12
Total ,25,173,800,544,1542
